reachable_users_count,reachable_comps_count,p,X,HCI,CSM,TBS,pbcc,A_HCI,A_CSM,A_TBS,A_PBCC,step,delta_X
29,48,1.1470588235294117,0.09625,0.38548483045806065,2.1379310344827585,2.1875,0.0,1,1,1,0,38,0.0
29,49,1.1764705882352942,0.0975,0.3827947845804989,2.1724137931034484,2.1875,0.0,1,1,1,0,39,0.0012500000000000011
30,50,1.2058823529411764,0.1,0.3802055164954029,2.1333333333333333,2.1875,0.0,1,1,1,0,40,0.0025000000000000022
30,51,1.2352941176470589,0.10125,0.37771177685950413,2.1666666666666665,2.25,0.0,1,1,1,0,41,0.0012500000000000011
30,51,1.2647058823529411,0.10125,0.37771177685950413,2.2,2.3125,0.0,1,1,1,0,42,0.0
30,51,1.2941176470588236,0.10125,0.37771177685950413,2.2333333333333334,2.375,0.0,1,1,1,0,43,0.0
30,52,1.3235294117647058,0.1025,0.37771177685950413,2.2666666666666666,2.4375,0.0,1,1,1,0,44,0.0012499999999999872
30,53,1.3529411764705883,0.10375,0.37771177685950413,2.3,2.5,0.0,1,1,1,0,45,0.0012500000000000011
30,53,1.3823529411764706,0.10375,0.37771177685950413,2.2580645161290325,2.411764705882353,0.0,1,1,1,0,46,0.0
31,53,1.411764705882353,0.105,0.38404241888650426,2.21875,2.3333333333333335,0.0,1,1,1,0,47,0.0012500000000000011
31,54,1.4411764705882353,0.10625,0.38404241888650426,2.25,2.388888888888889,0.0,1,1,1,0,48,0.0012500000000000011
31,55,1.4705882352941178,0.1075,0.3815964255524696,2.28125,2.4444444444444446,0.0,1,1,1,0,49,0.0012500000000000011
